,id,full_text,tokens,date,sentiment
1425753,1246697432647426048,Gemma Whelan (Yara Greyjoy) starrer Killing Eve Season 3 to premiere two weeks early ||  || The coronavirus outbreak is refusing to slow down around the world. People have been in lockdown for quite some time now depending on where ...,"['gemma', 'whelan', 'yara', 'greyjoy', 'starrer', 'killing', 'eve', 'season', '3', 'premiere', 'two', 'weeks', 'early', 'coronavirus', 'outbreak', 'refusing', 'slow', 'around', 'world', 'people', 'lockdown', 'quite', 'time', 'depending']",2020-04-05,-0.11851851851851801
1665433,1250556529733926918,"For many of our low-income and vulnerable neighbors, local food banks—like the @CleFoodBank—helps them to put nutritious food on their tables. How will these food banks navigate the #COVID19 quarantine? Find out in this piece by @DaniCarlsonSays","['many', 'lowincome', 'vulnerable', 'neighbors', 'local', 'food', 'bankslike', 'put', 'nutritious', 'food', 'tables', 'food', 'banks', 'navigate', 'covid19', 'quarantine', 'find', 'piece']",2020-04-15,0.0
391162,1255766565863088129,"18,000 more cancer patients will now die in England because the Covid-19 lockdown scared the patients from going to hospitals for early treatment which could have slowed or even cured their cancer.","['18000', 'cancer', 'patients', 'die', 'england', 'covid19', 'lockdown', 'scared', 'patients', 'going', 'hospitals', 'early', 'treatment', 'could', 'slowed', 'even', 'cured', 'cancer']",2020-04-30,0.30000000000000004
1466702,1247394448285171713,"Huge respect to the unsung heroes at the frontlines of the Coronavirus battle.

#Covid19 #Lockdown #StayAtHome","['huge', 'respect', 'unsung', 'heroes', 'frontlines', 'coronavirus', 'battle', 'covid19', 'lockdown', 'stayathome']",2020-04-07,0.4
844905,1262045056795582464,"RT @BenPenrod_: Every state in the south is surging right now. Not coincidentally, they all ended the lockdown 2 weeks ago.","['rt', 'every', 'state', 'south', 'surging', 'right', 'coincidentally', 'ended', 'lockdown', '2', 'weeks', 'ago']",2020-05-17,0.28571428571428503
1543918,1248266209734385664,Coronavirus: Oyo Impounds 36 vehicles for violation of lockdown -,"['coronavirus', 'oyo', 'impounds', '36', 'vehicles', 'violation', 'lockdown']",2020-04-09,0.0
494195,1258324218791505920,Instagram Social Media Growth|Marketing Agency Sevices for you #algorithms #social #media #Quarantine #COVID19 #Covid_19,"['instagram', 'social', 'media', 'growthmarketing', 'agency', 'sevices', 'algorithms', 'social', 'media', 'quarantine', 'covid19', 'covid_19']",2020-05-07,0.033333333333333
1272316,1243288116062040064,"#Balochistan: 26-Mar-2020
Conrimed Cases: 131
No new case of #Coronavirus reported today.
The test results of 204 people still awaited.
420 people are in quarantine in Taftan.
117 at RDA Quetta and 3 in Pishin.

#CoronaVirusPakistan #PakistanFightsCorona #COVID2019","['balochistan', '26mar2020', 'conrimed', 'cases', '131', 'new', 'case', 'coronavirus', 'reported', 'today', 'test', 'results', '204', 'people', 'still', 'awaited', '420', 'people', 'quarantine', 'taftan', '117', 'rda', 'quetta', '3', 'pishin', 'coronaviruspakistan', 'pakistanfightscorona', 'covid2019']",2020-03-26,-0.06818181818181801
1081873,1239250456649531394,People whinging about how sick they are of hearing about #COVID19 are welcome to shove their heads a little further up their arses if that'll help muffle it a little. #Coronavirusireland #StayAtHome,"['people', 'whinging', 'sick', 'hearing', 'covid19', 'welcome', 'shove', 'heads', 'little', 'arses', 'thatll', 'help', 'muffle', 'little', 'coronavirusireland', 'stayathome']",2020-03-15,-0.057857142857142004
1289830,1243583550387093505,I disagree. They have - allegedly- mild symptoms. They should be self isolating. No need at all to waste a test on them. NHS staff are front line and key to saving us. After so many lies from the Tories - dont expect people to believe them.,"['disagree', 'allegedly', 'mild', 'symptoms', 'self', 'isolating', 'need', 'waste', 'test', 'nhs', 'staff', 'front', 'line', 'key', 'saving', 'us', 'many', 'lies', 'tories', 'dont', 'expect', 'people', 'believe']",2020-03-27,0.15833333333333302
